2017/10/12 02:42:50 Starting decoder6
2017/10/12 02:42:50 file blocksize  25
2017/10/12 02:42:50 modulo bitsize  40
2017/10/12 02:42:50 modulo bigint 1099511627776
2017/10/12 02:42:50 modulo floor  197   200867255532373784442745261542645325315275374222849104412672  ceil  401734511064747568885490523085290650630550748445698208825344
2017/10/12 02:42:50 modulo floor equals zero  0   0
2017/10/12 02:42:50 modulo floor equals zero setting  200867255532373784442745261542645325315275374222849104412672   200867255532373784442745261542645325315275374222849104412672
2017/10/12 02:42:50 modulo floor  200867255532373784442745261542645325315275374222849104412672
2017/10/12 02:42:50 modulo i  1099511627776
2017/10/12 02:42:50 modulo remainder  200867255532373784442745261542645325315275374222849104412672
2017/10/12 02:42:50 modulo remainder  498760707872
2017/10/12 02:42:50 modulo modstart  200867255532373784442745261542645325315275374223347865120544
2017/10/12 02:44:49 blockbuffer value  200867255532373784442745261542645325315385325386125465120544
2017/10/12 02:46:47 blockbuffer value  200867255532373784442745261542645325315495276548903065120544
2017/10/12 02:48:46 blockbuffer value  200867255532373784442745261542645325315605227711680665120544
2017/10/12 02:50:44 blockbuffer value  200867255532373784442745261542645325315715178874458265120544
2017/10/12 02:52:43 blockbuffer value  200867255532373784442745261542645325315825130037235865120544
2017/10/12 02:54:42 blockbuffer value  200867255532373784442745261542645325315935081200013465120544
2017/10/12 02:56:40 blockbuffer value  200867255532373784442745261542645325316045032362791065120544
2017/10/12 02:58:37 blockbuffer value  200867255532373784442745261542645325316154983525568665120544
2017/10/12 03:00:35 blockbuffer value  200867255532373784442745261542645325316264934688346265120544
2017/10/12 03:02:34 blockbuffer value  200867255532373784442745261542645325316374885851123865120544
2017/10/12 03:04:31 blockbuffer value  200867255532373784442745261542645325316484837013901465120544
2017/10/12 03:06:29 blockbuffer value  200867255532373784442745261542645325316594788176679065120544
2017/10/12 03:08:27 blockbuffer value  200867255532373784442745261542645325316704739339456665120544
2017/10/12 03:10:25 blockbuffer value  200867255532373784442745261542645325316814690502234265120544
2017/10/12 03:12:24 blockbuffer value  200867255532373784442745261542645325316924641665011865120544
2017/10/12 03:14:22 blockbuffer value  200867255532373784442745261542645325317034592827789465120544
2017/10/12 03:16:21 blockbuffer value  200867255532373784442745261542645325317144543990567065120544
2017/10/12 03:18:19 blockbuffer value  200867255532373784442745261542645325317254495153344665120544
2017/10/12 03:20:17 blockbuffer value  200867255532373784442745261542645325317364446316122265120544
2017/10/12 03:22:15 blockbuffer value  200867255532373784442745261542645325317474397478899865120544
2017/10/12 03:24:13 blockbuffer value  200867255532373784442745261542645325317584348641677465120544
2017/10/12 03:26:11 blockbuffer value  200867255532373784442745261542645325317694299804455065120544
2017/10/12 03:28:09 blockbuffer value  200867255532373784442745261542645325317804250967232665120544
2017/10/12 03:30:07 blockbuffer value  200867255532373784442745261542645325317914202130010265120544
2017/10/12 03:32:05 blockbuffer value  200867255532373784442745261542645325318024153292787865120544
2017/10/12 03:34:03 blockbuffer value  200867255532373784442745261542645325318134104455565465120544
2017/10/12 03:36:01 blockbuffer value  200867255532373784442745261542645325318244055618343065120544
2017/10/12 03:37:59 blockbuffer value  200867255532373784442745261542645325318354006781120665120544
2017/10/12 03:39:56 blockbuffer value  200867255532373784442745261542645325318463957943898265120544
2017/10/12 03:41:55 blockbuffer value  200867255532373784442745261542645325318573909106675865120544
2017/10/12 03:43:54 blockbuffer value  200867255532373784442745261542645325318683860269453465120544
2017/10/12 03:45:53 blockbuffer value  200867255532373784442745261542645325318793811432231065120544
2017/10/12 03:47:52 blockbuffer value  200867255532373784442745261542645325318903762595008665120544
2017/10/12 03:49:51 blockbuffer value  200867255532373784442745261542645325319013713757786265120544
2017/10/12 03:51:51 blockbuffer value  200867255532373784442745261542645325319123664920563865120544
